id;course_name;course_code;course_image_path;course_start_date;course_end_date;course_format;published;self_enrollment;self_enrollment_code;storage_quota;status
1;boohoo alongside bitterly;costly shimmering boulder;needily;2024-05-16T03:35:36;2024-05-15T22:03:31;decode salvage carefully;true;true;perturb safely;18008;true
2;substantiate mmm;unlike sans;resist;2024-05-15T20:05:07;2024-05-15T07:40:15;delve following yet;false;false;plagiarise;30503;true
3;likewise unlucky click;who cram thump;loftily;2024-05-15T21:29:37;2024-05-15T21:15:56;lopsided violent;true;false;whose orderly spreadsheet;18698;true
4;tambourine;seed er;ew excluding;2024-05-16T03:52:11;2024-05-15T20:16:13;thoroughly;false;true;but trusty pfft;2672;true
5;elapse let zowie;mining besides tenderly;before;2024-05-15T06:34:35;2024-05-15T06:42:09;anti show;false;true;simplicity while;28303;true
6;about round;accord muddy;aside;2024-05-16T03:48:42;2024-05-15T13:45:47;finally;false;true;amidst gummy;7427;false
7;oof worthy;oof as rigid;preoccupation jaggedly;2024-05-15T17:05:07;2024-05-15T05:21:15;geez wisely sleepily;false;false;fetus;22670;true
8;surprised incarnation when;onto single;crepe;2024-05-15T11:24:48;2024-05-16T00:45:51;relaxation because;true;false;actress;17833;true
9;drat;ouch curse bound;lest reader;2024-05-15T18:42:55;2024-05-15T17:25:33;perfume;true;true;bossy of lest;27501;true
10;once unaware;awful for medicate;sickness seemingly homeschool;2024-05-15T13:04:45;2024-05-15T13:02:18;warm;false;false;bah advanced;24047;true
