id;enrollment_status;last_activity_at;enrollment_start_at;enrollment_end_at
1;ACTIVE;2024-05-15T21:58:58;2024-05-15T19:02:43;2024-05-16T02:29:06
2;ACTIVE;2024-05-15T19:52:45;2024-05-15T16:19:40;2024-05-15T08:21:22
3;PENDING;2024-05-15T22:28:29;2024-05-16T02:49:57;2024-05-15T16:39:38
4;ACTIVE;2024-05-16T04:21:32;2024-05-15T23:00:45;2024-05-15T21:27:49
5;REJECTED;2024-05-15T11:08:03;2024-05-16T02:58:04;2024-05-15T12:43:48
6;ACTIVE;2024-05-15T19:22:08;2024-05-15T15:12:50;2024-05-15T13:11:06
7;REJECTED;2024-05-15T23:23:41;2024-05-15T22:16:22;2024-05-15T13:12:24
8;REJECTED;2024-05-16T04:10:45;2024-05-15T09:32:56;2024-05-15T21:43:21
9;ACTIVE;2024-05-15T12:54:01;2024-05-15T14:08:51;2024-05-15T13:44:34
10;ACTIVE;2024-05-15T23:44:40;2024-05-16T01:05:43;2024-05-15T16:09:28
